id;celery;gluten;crustaceans;egg;fish;lupin;milk;molluscs;mustard;nuts;peanuts;sesame;soya;sulphur
1;true;false;false;false;true;false;true;false;false;false;true;true;false;true
2;true;false;false;false;false;false;false;false;true;true;true;true;false;false
3;true;true;false;true;true;true;false;false;true;false;false;false;true;false
4;true;false;false;false;false;false;true;true;true;true;false;false;true;true
5;false;true;true;true;true;true;false;false;true;true;false;true;true;true
6;true;true;false;false;true;true;true;false;false;true;false;true;true;true
7;false;false;false;false;true;true;true;true;true;true;true;true;true;false
8;true;false;true;true;true;false;true;true;false;true;true;false;true;true
9;true;false;false;false;true;true;true;false;false;false;true;true;true;true
10;true;true;false;true;false;true;true;true;false;false;true;true;false;false
